"CHARACTER DESCRIPTION"
"Here you are behaving like a citizen reacting to the actions of a player and gossiping. These are isolated statements from the original Gothic."

"So ein Mistwetter!                                                                                                                     ","SVM_10_Weather"
"Immer feste drauf!                                                                                                                     ","SVM_10_CheerFriend03"
"Lass dir nichts gefallen!                                                                                                                     ","SVM_10_Ooh01"
"Den wirst du ja wohl schaffen!                                                                                                                     ","SVM_10_Ooh02"
"Das gibt's doch gar nicht!                                                                                                                     ","SVM_10_Ooh03"
"(herzhaftes Gähnen)                                                                                                                     ","SVM_10_Awake"
"Geh mir aus den Augen, dreckiger Dieb!                                                                                                                     ","SVM_10_THEFT_CRIME"
"…glaubst du wirklich…                                                                                                                     ","SVM_10_Smalltalk01"
"…möglich ist alles…                                                                                                                     ","SVM_10_Smalltalk02"
"…das hätte er doch besser wissen müssen…                                                                                                                     ","SVM_10_Smalltalk03"
"…als ob ich nicht schon genug Probleme hätte…                                                                                                                     ","SVM_10_Smalltalk04"
"…wer erzählt denn so was…                                                                                                                     ","SVM_10_Smalltalk05"
"…das gibt doch nur noch mehr Ärger…                                                                                                                     ","SVM_10_Smalltalk06"
"…man erzählt sich ja so einiges…                                                                                                                     ","SVM_10_Smalltalk07"
"…ich hätte das nicht gemacht…                                                                                                                     ","SVM_10_Smalltalk08"
"…das sind doch alles nur Gerüchte…                                                                                                                     ","SVM_10_Smalltalk09"
"…man muss eben aufpassen, was man so rumerzählt…                                                                                                                     ","SVM_10_Smalltalk10"
"…das hätte ich dir vorher sagen können…                                                                                                                     ","SVM_10_Smalltalk11"
"…mich fragt ja keiner…                                                                                                                     ","SVM_10_Smalltalk12"
"…der arme Kerl kann einem Leid tun…                                                                                                                     ","SVM_10_Smalltalk13"
"…das ist doch nichts Neues…                                                                                                                     ","SVM_10_Smalltalk14"
"…das liegt doch auf der Hand…                                                                                                                     ","SVM_10_Smalltalk15"
"…mich brauchst du das nicht zu fragen…                                                                                                                     ","SVM_10_Smalltalk16"
"…das kann ja nicht ewig so weitergehen…                                                                                                                     ","SVM_10_Smalltalk17"
"…meine Meinung kennst du ja schon…                                                                                                                     ","SVM_10_Smalltalk18"
"…genau das hab ich auch gesagt…                                                                                                                     ","SVM_10_Smalltalk19"
"…daran wird sich nie etwas ändern…                                                                                                                     ","SVM_10_Smalltalk20"
"…warum erfahre ich das erst jetzt…                                                                                                                     ","SVM_10_Smalltalk21"
"…lass uns mal abwarten, was daraus wird…                                                                                                                     ","SVM_10_Smalltalk22"
"…einige Probleme erledigen sich von selbst…                                                                                                                     ","SVM_10_Smalltalk23"
"…ich kann das nicht mehr hören…                                                                                                                     ","SVM_10_Smalltalk24"
"…der war doch sturzbetrunken…                                                                                                                     ","SVM_10_Smalltalk25"
"…mit mir kann man so was nicht machen…                                                                                                                     ","SVM_10_Smalltalk26"
"…alle sind gerannt wie die Hasen, ich war ganz allein…                                                                                                                     ","SVM_10_Smalltalk27"
"…so steht es in den heiligen Schriften…                                                                                                                     ","SVM_10_Smalltalk28"
"…niemand darf gegen die göttliche Ordnung verstoßen…                                                                                                                     ","SVM_10_Smalltalk30"
