"CHARACTER DESCRIPTION"
"Here you are behaving like a citizen reacting to the actions of a player and gossiping. These are isolated statements from the original Gothic."

"So ein Mistwetter!                                                                                                                     ","SVM_14_Weather"
"…als ob ich nicht schon genug Probleme hätte…                                                                                                                     ","SVM_14_Smalltalk04"
"…wer erzählt denn so was…                                                                                                                     ","SVM_14_Smalltalk05"
"…das gibt doch nur noch mehr Ärger…                                                                                                                     ","SVM_14_Smalltalk06"
"…man erzählt sich ja so einiges…                                                                                                                     ","SVM_14_Smalltalk07"
"…ich hätte das nicht gemacht…                                                                                                                     ","SVM_14_Smalltalk08"
"…das sind doch alles nur Gerüchte…                                                                                                                     ","SVM_14_Smalltalk09"
"…man muss eben aufpassen, was man so rumerzählt…                                                                                                                     ","SVM_14_Smalltalk10"
"…das hätte ich dir vorher sagen können…                                                                                                                     ","SVM_14_Smalltalk11"
"…mich fragt ja keiner…                                                                                                                     ","SVM_14_Smalltalk12"
"…der arme Kerl kann einem Leid tun…                                                                                                                     ","SVM_14_Smalltalk13"
"…das ist doch nichts Neues…                                                                                                                     ","SVM_14_Smalltalk14"
"…das liegt doch auf der Hand…                                                                                                                     ","SVM_14_Smalltalk15"
"…mich brauchst du das nicht zu fragen…                                                                                                                     ","SVM_14_Smalltalk16"
"…das kann ja nicht ewig so weitergehen…                                                                                                                     ","SVM_14_Smalltalk17"
"…meine Meinung kennst du ja schon…                                                                                                                     ","SVM_14_Smalltalk18"
"…genau das hab ich auch gesagt…                                                                                                                     ","SVM_14_Smalltalk19"
"…daran wird sich nie etwas ändern…                                                                                                                     ","SVM_14_Smalltalk20"
"…warum erfahre ich das erst jetzt…                                                                                                                     ","SVM_14_Smalltalk21"
"…lass uns mal abwarten, was daraus wird…                                                                                                                     ","SVM_14_Smalltalk22"
"…einige Probleme erledigen sich von selbst…                                                                                                                     ","SVM_14_Smalltalk23"
"…ich kann das nicht mehr hören…                                                                                                                     ","SVM_14_Smalltalk24"
"…der war doch sturzbetrunken…                                                                                                                     ","SVM_14_Smalltalk25"
"…mit mir kann man so was nicht machen…                                                                                                                     ","SVM_14_Smalltalk26"
"…alle sind gerannt wie die Hasen, ich war ganz allein…                                                                                                                     ","SVM_14_Smalltalk27"
"…so steht es in den heiligen Schriften…                                                                                                                     ","SVM_14_Smalltalk28"
"…niemand darf gegen die göttliche Ordnung verstoßen…                                                                                                                     ","SVM_14_Smalltalk30"
