"CHARACTER DESCRIPTION"
"He doesn't like king Rezenhart. Friendly for Romulus."

"","","","","DIA_Frank_HELLO1"
"Frank","Hey! Warten!                                                                                                                     ","DIA_Frank_HELLO1_03_01"
"Romulus","","Sie warfen ein Netz über mich, überwältigten mich und schlugen mir mit einem Knüppel auf den Kopf, so dass ich das Bewusstsein verlor.                                                                                                                     ","DIA_Frank_HELLO1_15_16"
"Romulus","","Und so bin ich hierher gekommen.                                                                                                                     ","DIA_Frank_HELLO1_15_17"
"Romulus","","Ich werde meine Lieben rächen!                                                                                                                     ","DIA_Frank_HELLO1_15_18"
"Frank","Traurige Geschichte, ich wünsche dir von ganzem Herzen, dass du dein Ziel erreichst.                                                                                                                     ","DIA_Frank_HELLO1_03_19"

"","","","","DIA_Frank_HELLO2"
"Romulus","","Erzählst du mir von diesem Ort?                                                                                                                     ","DIA_Frank_HELLO2_15_01"
"Frank","Dies ist die Bucht der Gladiatoren.                                                                                                                     ","DIA_Frank_HELLO2_03_02"
"Frank","Es wurde vor etwa 2 Jahren gegründet, als König Brahims Truppen diesen Ort von Piraten zurückeroberten.                                                                                                                     ","DIA_Frank_HELLO2_03_03"
"Frank","Sie hatten hier ihren Hafen.                                                                                                                     ","DIA_Frank_HELLO2_03_04"
"Frank","Nach dem Tod von Brahim, Rezenhart, der auf dem Thron saß - Er befahl, die Bucht in einen Ort zu verwandeln, an dem Gladiatorenspiele stattfinden würden.                                                                                                                     ","DIA_Frank_HELLO2_03_05"
"Frank","Hier hat alles angefangen.                                                                                                                     ","DIA_Frank_HELLO2_03_06"
"Frank","Die Bucht war der erste Ort, an dem Kämpfe stattfanden.                                                                                                                     ","DIA_Frank_HELLO2_03_07"
"Frank","Dies ist bis heute so geblieben, und die Gladiatorenspiele waren so erfolgreich, dass Tag für Tag neue Arenen im ganzen Königreich entstanden.                                                                                                                     ","DIA_Frank_HELLO2_03_08"
"Frank","Der König steckt viel Geld in die Turnierorganisation und die Bedrohung durch Piraten, Orks und Banditen wächst ständig!                                                                                                                     ","DIA_Frank_HELLO2_03_09"
"Frank","Wo ist der vermisste Bruder von König Brahim? Wo ist Keldrom, der ein viel besserer König wäre?                                                                                                                     ","DIA_Frank_HELLO2_03_10"
"Frank","Rezenhart wird unser Königreich in den Untergang führen.                                                                                                                     ","DIA_Frank_HELLO2_03_11"
"Frank","Die Armen müssen um eine Schüssel Reis kämpfen, und die Reichen geben ihr Geld für die Gelegenheit aus, Unterhaltung direkt aus der Antike zu sehen.                                                                                                                     ","DIA_Frank_HELLO2_03_12"
"Frank","Kämpfe bis zum Tod in der Arena, Sklavenkämpfe, Kämpfe gegen den aktuellen König.                                                                                                                     ","DIA_Frank_HELLO2_03_13"
"Frank","Diese Arena wird nicht von Freiwilligen bekämpft, sondern von Zwangsmännern!                                                                                                                     ","DIA_Frank_HELLO2_03_14"
"Frank","Nun, es sei denn, wir sprechen von Kämpfen, bei denen einer von Proxemos Männern ein paar arme Sklaven zerhacken will, die nicht mehr die Kraft haben, in den Goldminen zu arbeiten.                                                                                                                     ","DIA_Frank_HELLO2_03_15"
"Frank","Ich sollte dir diese Dinge nicht sagen. Rezenhart so offen zu kritisieren, kann für mich am Galgen enden!                                                                                                                     ","DIA_Frank_HELLO2_03_16"
"Romulus","","Entspann dich wieder. Niemand wird von mir erfahren, dass Sie den aktuellen Herrscher nicht mögen.                                                                                                                     ","DIA_Frank_HELLO2_15_17"
"Romulus","","Ich hasse ihn auch. Und er wird mein Ziel sein, ich werde meine Lieben rächen!                                                                                                                     ","DIA_Frank_HELLO2_15_18"

"","","","",""

