"c_npc_instance","subtitle_de","subtitle_pl","subtitle_name","dialogue_instance_name"
"NONE_63316_GbayKaplan","Natürlich, mein Sohn. Wisse, dass der Körper sich selbst heilt. Greife nicht in natürliche Gesundheitsprozesse ein.","Oczywiście, synu. Wiedz, że organizm leczy się sam. Nie przeszkadzaj naturalnym procesom zdrowotnym.","DIA_Kaplan_REGHP_03_02","DIA_Kaplan_REGHP"
"NONE_63316_GbayKaplan","Ignorieren die Signale deines Körpers nicht und nehme keine Positionen ein, die plötzliche Schmerzen verursachen.","Nie ignoruj sygnałów ciała i nie wchodź w pozycje, które powodują nagły ból.","DIA_Kaplan_REGHP_03_03","DIA_Kaplan_REGHP"
"NONE_63316_GbayKaplan","Atme tief und gleichmäßig. Dadurch wirst du das innere Feuer spüren.","Oddychaj głęboko i równomiernie. Dzięki temu poczujesz wewnętrzny ogień.","DIA_Kaplan_REGHP_03_04","DIA_Kaplan_REGHP"
"PC_HERO","Verstehe.","Rozumiem.","DIA_Kaplan_REGHP_15_05","DIA_Kaplan_REGHP"
"NONE_63316_GbayKaplan","Das kann ich dir nicht beibringen.","Nie mogę cię tego nauczyć.","DIA_Kaplan_REGHP_03_06","DIA_Kaplan_REGHP"
"PC_HERO","Zeig mir deine Waffen.","Pokaż mi swoje bronie.","DIA_ForestKowal_GANDLER_15_01","DIA_ForestKowal_GANDLER"
"NONE_63002_Platnerz","Du hast kein Geld!!!","Nie masz pieniędzy!!!","DIA_forestPlatnerz_ARMORSFOREST_A1_03_01","DIA_forestPlatnerz_ARMORSFOREST_A1"
"NONE_63002_Platnerz","Wo ist das Gold?","Gdzie złoto?","DIA_forestPlatnerz_HELMFOREST_C1_03_01","DIA_forestPlatnerz_HELMFOREST_C1"
"NONE_63316_GbayKaplan","Oh, hallo ein weiterer Gladiator. Woher kommst du?","Oho, witam kolejnego gladiatora. Skąd tu przybyłeś?","DIA_ForestKaplan_HELLO1_03_01","DIA_ForestKaplan_HELLO1"
"PC_HERO","Hallo Magier. aus dem Dorf Gallen habe ich dort den Champion besiegt.","Witaj magu. Z wioski Gallen, pokonałem tam mistrza.","DIA_ForestKaplan_HELLO1_15_02","DIA_ForestKaplan_HELLO1"
"NONE_63316_GbayKaplan","Das Dorf Gallen? Hast du den Magier dort getroffen?","Wioski Gallen? Czyli spotkałeś tamtejszego maga?","DIA_ForestKaplan_HELLO1_03_03","DIA_ForestKaplan_HELLO1"
"PC_HERO","Richtig.","Zgadza się.","DIA_ForestKaplan_HELLO1_15_04","DIA_ForestKaplan_HELLO1"
"NONE_63316_GbayKaplan","Also wisse, dass ich die gleiche Arbeit mache wie mein Mitbruder.","Wiedz więc, że wykonuję taką samą pracę jak mój współbrat.","DIA_ForestKaplan_HELLO1_03_05","DIA_ForestKaplan_HELLO1"
"NONE_63316_GbayKaplan","Wir haben die Pflicht zu beten, zu lehren, die Kranken zu heilen und im Kampf gegen das Böse zu helfen.","Mamy obowiązek modlić się, nauczać, leczyć chorych i pomagać w walce ze złem.","DIA_ForestKaplan_HELLO1_03_06","DIA_ForestKaplan_HELLO1"
"NONE_63316_GbayKaplan","Überall dort, wo Menschen leben. Auch hier.","Wszędzie tam, gdzie postanowili zamieszkać ludzie. Także tutaj.","DIA_ForestKaplan_HELLO1_03_07","DIA_ForestKaplan_HELLO1"
"PC_HERO","Es ist mir nicht passiert.","Nie zdarzyło mi się.","DIA_ForestKaplan_HELLO1_15_08","DIA_ForestKaplan_HELLO1"
"NONE_63316_GbayKaplan","Es ist erstaunlich, dass du es ohne seine Hilfe geschafft hast, Meisterschaft zu erlangen.","Niebywałe, że zdołałeś osiągnąć mistrzostwo bez jego pomocy.","DIA_ForestKaplan_HELLO1_03_09","DIA_ForestKaplan_HELLO1"
"PC_HERO","Bring mir bei, wie ich schneller Wissen erwerben kann.","Naucz mnie jak szybciej pozyskiwać wiedzę.","DIA_TRENER_STUDYTEACH_15_01","DIA_TRENER_STUDYTEACH"
"NONE_63001_Luczarz","In Ordnung. Rennen ist die einzige Möglichkeit, Fernkampfwaffen im Kampf effektiv einzusetzen. Dank dessen kannst du vor deinen Gegner davonlaufen und Schüsse abgeben.","Nie ma sprawy. Sprint to jedyna możliwość na skuteczne korzystanie z broni dystansowej podczas gry. Dzięki niemu możesz odbiegać od rywala i oddawać strzały.","DIA_Luczarz_SPRINT_03_02","DIA_Luczarz_SPRINT"
"NONE_63017_Zlotnik","Hallo Gladiator!","Hej, gladiatorze!","DIA_Zlotnik_HELLO1_03_01","DIA_Zlotnik_HELLO1"
"PC_HERO","Was ist los?","O co chodzi?","DIA_Zlotnik_HELLO1_15_02","DIA_Zlotnik_HELLO1"
"NONE_63017_Zlotnik","Ich bin der Goldschmied. Ich handel mit Schmuck.","Jestem złotnikiem. Zajmuje się między innymi biżuterią.","DIA_Zlotnik_HELLO1_03_03","DIA_Zlotnik_HELLO1"
"NONE_63017_Zlotnik","Ich kann dir Ringe und Amulette verkaufen, die dir im Kampf helfen können!","Mogę sprzedać ci pierścienie i amulety, które mogą pomóc ci w walkach!","DIA_Zlotnik_HELLO1_03_04","DIA_Zlotnik_HELLO1"
"PC_HERO","Das wird sicher nützlich sein.","Będę o tym pamiętał.","DIA_Zlotnik_HELLO1_15_05","DIA_Zlotnik_HELLO1"
"NONE_6436_Bibliotekarz","Hallo, wenn du mehr Wissen erlernen willst, lade ich dich ein, in meinem Angebot an Büchern zu stöbern.","Witaj, jeżeli pragniesz wiedzy to zapraszam do przejrzenia mojej oferty książek.","DIA_Bibliotekarz_HELLO1_03_01","DIA_Bibliotekarz_HELLO1"
"PC_HERO","Ich lese nicht gern.","Nie lubię czytać.","DIA_Bibliotekarz_HELLO1_15_02","DIA_Bibliotekarz_HELLO1"
"NONE_6436_Bibliotekarz","Aber das sind keine gewöhnlichen Bücher, Märchen oder andere Seifenopern, sondern ein echter Wissensschatz!","Ale to nie są zwykłe książki, bajki czy inne telenowele, tylko prawdziwa skarbnica wiedzy!","DIA_Bibliotekarz_HELLO1_03_03","DIA_Bibliotekarz_HELLO1"
"NONE_6436_Bibliotekarz","Sie sie dir an!","Zobacz!","DIA_Bibliotekarz_HELLO1_03_04","DIA_Bibliotekarz_HELLO1"
"NONE_9960_Igor","Hallo du! Warum bist du hier oben, huh?","Hej ty! Dlaczego tu wszedłeś, co?","DIA_Igor_HELLO1_03_01","DIA_Igor_HELLO1"
"PC_HERO","Ich schaue mich nur um.","Rozglądam się po okolicy.","DIA_Igor_HELLO1_15_02","DIA_Igor_HELLO1"
"NONE_9960_Igor","Ich sehe mich um."" Gibt es hier wirklich keine interessanteren Orte mehr zu sehen""?","'Rozglądam się po okolicy'. Czy naprawdę nie ma tu ciekawszych miejsc do obejrzenia?","DIA_Igor_HELLO1_03_03","DIA_Igor_HELLO1"
"NONE_9960_Igor","Außerdem, wer bist du?","Poza tym kim ty jesteś?","DIA_Igor_HELLO1_03_04","DIA_Igor_HELLO1"
"NONE_9960_Igor","Geh von hier runter, vier Leute auf dieser Plattform sind viel zu viel.","Złaź stąd, bo cztery osoby na tej platformie to zdecydowanie za dużo.","DIA_Igor_HELLO1_03_05","DIA_Igor_HELLO1"
"PC_HERO","Hier ist tatsächlich viel los…","Faktycznie coś tu skrzypi…","DIA_Igor_HELLO1_15_06","DIA_Igor_HELLO1"
"NONE_9960_Igor","Jeden Tag ein wenig mehr. Und wir MÜSSEN hier stehen, sonst enden wir wie diese Sklaven da unten.","Z dnia na dzień coraz bardziej. A my MUSIMY tutaj stać, żeby nie skończyć jak ci niewolnicy na dole.","DIA_Igor_HELLO1_03_07","DIA_Igor_HELLO1"
"PC_HERO","Hast du mit Proxemo über den Zustand dieser Plattform gesprochen?","Rozmawiałeś z Proxemo o stanie tej palisady?","DIA_Igor_HELLO1_15_08","DIA_Igor_HELLO1"
"NONE_9960_Igor","Proxemo spricht nicht mit irgendeiner Wache.","Proxemo nie gada z byle strażnikiem.","DIA_Igor_HELLO1_03_09","DIA_Igor_HELLO1"
"NONE_9960_Igor","Du bist ein Gladiator, richtig?","Słuchaj, jesteś Gladiatorem tak?","DIA_Igor_HELLO1_03_10","DIA_Igor_HELLO1"
"PC_HERO","Ja.","Owszem.","DIA_Igor_HELLO1_15_11","DIA_Igor_HELLO1"
"NONE_9960_Igor","Wenn es dir gelingt, mit Proxemo zu sprechen, erwähne die Bedingungen, unter denen wir arbeiten müssen.","Jeżeli uda ci się zamienić słowo z Proxemo, to wspomnij o warunkach w jakich musimy pracować.","DIA_Igor_HELLO1_03_12","DIA_Igor_HELLO1"
"NONE_9960_Igor","Lass ihn von seinem fetten Arsch hochkommen und etwas dagegen unternehmen, denn irgendwann wird sie zusammenbrechen.","Niech ruszy tą swoją tłustą dupę i coś z tym zrobi, bo w końcu się to zawali.","DIA_Igor_HELLO1_03_13","DIA_Igor_HELLO1"
"NONE_9960_Igor","Außerdem, warum erzähle ich das einem Sklaven? WEG HIER!","Zresztą, czemu ja to mówię niewolnikowi? ZJEŻDŻAJ STĄD!","DIA_Igor_HELLO1_03_14","DIA_Igor_HELLO1"
"PC_HERO","Ich habe mit Proxemo gesprochen.","Rozmawiałem z Proxemo.","DIA_Igor_HELLO2_15_01","DIA_Igor_HELLO2"
"NONE_9960_Igor","Ich weiß nicht, wie du es geschafft hast, seinen Kopf zu beschäftigen, aber sagen mir, was er dir gesagt hat.","Nie wiem jakim cudem dałeś radę zająć mu głowę, ale mów co ci powiedział.","DIA_Igor_HELLO2_03_02","DIA_Igor_HELLO2"
"PC_HERO","Es ist ihm egal. Er sagt, die Plattform sieht aus wie immer.","Ma to gdzieś. Mówi, że platforma wygląda tak samo jak zawsze.","DIA_Igor_HELLO2_15_03","DIA_Igor_HELLO2"
"NONE_9960_Igor","Was für ein Idiot!","Co za dureń!","DIA_Igor_HELLO2_03_04","DIA_Igor_HELLO2"
"NONE_9960_Igor","Ich muss einen Holzfäller oder jemanden finden, der mir alleine hilft.","Muszę sam na własną rekę poszukać jakiegoś drwala albo kogolwiek, kto by mi pomógł.","DIA_Igor_HELLO2_03_05","DIA_Igor_HELLO2"
"PC_HERO","Ich werde mich darum kümmern.","Ja się tym zajmę.","DIA_Igor_HELLO2_15_06","DIA_Igor_HELLO2"
"NONE_9960_Igor","Du? Und warum?","Ty? A niby dlaczego?","DIA_Igor_HELLO2_03_07","DIA_Igor_HELLO2"
"PC_HERO","Könntest du mich irgendwie für meine Bemühungen belohnen?","Mógłbyś mnie jakoś wynagrodzić za trud?","DIA_Igor_HELLO2_15_08","DIA_Igor_HELLO2"
"NONE_9960_Igor","Ich werde alles in meiner Macht Stehende tun.","Zrobię wszystko co w mojej mocy.","DIA_Igor_HELLO2_03_09","DIA_Igor_HELLO2"
"PC_HERO","Ich werde versuchen, etwas herauszufinden, warte.","Postaram się coś ogarnąć, trzymaj się.","DIA_Igor_HELLO2_15_10","DIA_Igor_HELLO2"
"PC_HERO","Ich war beim Holzfäller.","Byłem u drwala.","DIA_Igor_HELLO3_15_01","DIA_Igor_HELLO3"
"NONE_9960_Igor","Welcher Holzfäller?","Jakiego drwala?","DIA_Igor_HELLO3_03_02","DIA_Igor_HELLO3"
"NONE_9960_Igor","Der Möchtegern-Besitzer eines Sägewerks in der Stadt, der es zuerst verkauft und dann das ganze Geld, das er verdient hat, in Wetten geblasen hat?","A! Tego niedoszłego właściciela tartaku w mieście, który najpierw go sprzedał, a potem przepierdolił całe zarobione pieniądze na zakłady?","DIA_Igor_HELLO3_03_03","DIA_Igor_HELLO3"
"PC_HERO","Ja, genau den meine ich.","Tak, dokładnie o niego mi chodzi.","DIA_Igor_HELLO3_15_04","DIA_Igor_HELLO3"
"NONE_9960_Igor","Und was ist mit ihm?","I co z nim?","DIA_Igor_HELLO3_03_05","DIA_Igor_HELLO3"
"PC_HERO","Wenn er 500 Gold im Voraus bekommt, kümmert er sich um die Plattform.","Jeżeli dostanie 500 sztuk złota z góry, to zajmie się platformą.","DIA_Igor_HELLO3_15_06","DIA_Igor_HELLO3"
"NONE_9960_Igor","500 Gold?!","500 sztuk złota?!","DIA_Igor_HELLO3_03_07","DIA_Igor_HELLO3"
"NONE_9960_Igor","Verdammt, wo bekomme ich diese Summe her? Ich habe nur 150 Münzen, mehr nicht.","Cholera, skąd ja wezmę taką kwotę. Mam tylko 150 monet, nic więcej.","DIA_Igor_HELLO3_03_08","DIA_Igor_HELLO3"
"PC_HERO","Gebt mir diese Münzen und ich erledige den Rest.","Daj mi te monety, a ja zajmę się resztą.","DIA_Igor_HELLO3_15_09","DIA_Igor_HELLO3"
"NONE_9960_Igor","Ich vertraue dir, aber du weißt, was passiert, wenn du mit meinem Gold davonläufst.","Zaufam ci, ale wiesz co się stanie, jeżeli zwiejesz z moim złotem.","DIA_Igor_HELLO3_03_10","DIA_Igor_HELLO3"
"NONE_9960_Igor","Hier ist ein Beutel, und versuche, es schnell zu erledigen.","Masz tu sakwę i postaraj się załatwić to szybko.","DIA_Igor_HELLO3_03_11","DIA_Igor_HELLO3"
"NONE_9960_Igor","Höre ich wirklich das Geräusch von Nägeln?","Czy mi się zdaje, czy naprawdę słyszę odgłos wbijania gwoździ?","DIA_Igor_HELLO4_03_01","DIA_Igor_HELLO4"
"PC_HERO","Ja, der Holzfäller hat mit der Verstärkung der Stützen begonnen.","Tak, drwal zaczął pracę nad umacnianiem podpór.","DIA_Igor_HELLO4_15_02","DIA_Igor_HELLO4"
"NONE_9960_Igor","Du hast es also geschafft? Das ist unglaublich.","Czyli udało ci się? To niebywałe.","DIA_Igor_HELLO4_03_03","DIA_Igor_HELLO4"
"NONE_9960_Igor","Ich bin dir sehr dankbar, jetzt muss ich mir keine Sorgen mehr um mein Leben machen wie früher.","Jestem ci bardzo wdzięczny, teraz nie będę musiał martwić się o swoje życie jak dotychczas.","DIA_Igor_HELLO4_03_04","DIA_Igor_HELLO4"
"NONE_9960_Igor","Wie ich es versprochen habe. Als Gegenleistung für deine Hilfe kann ich dir etwas von meiner Erfahrung in Kampf, Überleben und so weiter geben.","Tak jak obiecałem. W zamian za pomoc mogę przekazać ci trochę mojego doświadczenia w walce, przetrwaniu i tak dalej.","DIA_Igor_HELLO4_03_05","DIA_Igor_HELLO4"
"NONE_9960_Igor","Ich habe ein bisschen gelebt und viel in meinem Leben gesehen, also denke ich, dass ich dir etwas Nützliches beibringen kann.","Trochę w życiu przeżyłem i sporo widziałem, więc myślę, że mogę powiedzieć ci coś przydatnego.","DIA_Igor_HELLO4_03_06","DIA_Igor_HELLO4"
"NONE_5122_Karczmarz","Ein weiterer Sklave, der erwischt wurde, um sein Leben unter der Axt eines Gladiators zu beenden?","Kolejny niewolnik złapany, by zakończyć życie pod toporem gladiatora?","DIA_Karczmarz_HELLO_SLAVE_03_01","DIA_Karczmarz_HELLO_SLAVE"
"NONE_5122_Karczmarz","Trink ein Bier und genieße das Leben, das dir noch übrig bleibt. Wenn es für einen Mann ein Leben nach dem Tod gibt, sag den Göttern, dass es hier einen Wirt gibt, der denen, die zu Tode geführt wurden, Erleichterung bringt.","Napij się piwa i ciesz się jeszcze życiem, którego tak niewiele ci zostało. Jeśli istnieje życie człowieka po śmierci, to przekaż bogom, że jest tu karczmarz, który przynosi ulgę prowadzonym na śmierć.","DIA_Karczmarz_HELLO_SLAVE_03_02","DIA_Karczmarz_HELLO_SLAVE"
"PC_HERO","Ich werde der Champion dieser Arena!","Zostanę mistrzem tej areny!","DIA_Karczmarz_HELLO_SLAVE_15_03","DIA_Karczmarz_HELLO_SLAVE"
"NONE_5122_Karczmarz","Ja denkst du? Dann komm wieder hierher zurück, ich verkaufe dir gerne mehr Bier, wenn es dir gefällt.","Tak? A to jeszcze tu wrócisz, chętnie sprzedam ci więcej kufli piwa, jeśli ci zasmakuje.","DIA_Karczmarz_HELLO_SLAVE_03_04","DIA_Karczmarz_HELLO_SLAVE"
"NONE_5122_Karczmarz","Du bist also der neue Gladiator? Du verdienst ein Bier."," A więc jesteś nowym gladiatorem? Należy ci się piwo.","DIA_Karczmarz_HELLO_GLAD_03_01","DIA_Karczmarz_HELLO_GLAD"
"NONE_5122_Karczmarz","Diese sind besser und teurer - Ich nannte es den Wüstenwind.","Te jest już lepsze i droższe - nazwałem je Wiatrem Pustyni.","DIA_Karczmarz_HELLO_GLAD_03_02","DIA_Karczmarz_HELLO_GLAD"
"PC_HERO","Mach dich bereit für meinen nächsten Sieg.","Szykuj następne, na moje kolejne zwycięstwo.","DIA_Karczmarz_HELLO_GLAD_15_03","DIA_Karczmarz_HELLO_GLAD"
"NONE_5122_Karczmarz","Ha! Solche Gladiatoren brauchen wir hier.","Ha! Takich gladiatorów nam tu potrzeba.","DIA_Karczmarz_HELLO_GLAD_03_04","DIA_Karczmarz_HELLO_GLAD"
"NONE_5122_Karczmarz","Wenn es dir gefällt, lade ich dich ein, mehr zu kaufen.","Jak zasmakowało, zapraszam po kupno kolejnych.","DIA_Karczmarz_HELLO_GLAD_03_05","DIA_Karczmarz_HELLO_GLAD"
"NONE_5122_Karczmarz","Du Lebst noch? Die meisten haben auf den Schattenläufer gesetzt. Ich glaube, du hast eine Klaue drin stecken. Nicht bewegen, ich nehme sie raus.","A więc żyjesz? Większość stawiała na cieniostwora. Chyba wbił ci się jakiś pazur. Nie ruszaj się, wyjmę.","DIA_Karczmarz_HELLO_SHADOW_03_01","DIA_Karczmarz_HELLO_SHADOW"
"NONE_5122_Karczmarz","Hier für dich - Das Urteil des Schakals.","Masz, to dla ciebie: piwo Wyrok Szakala.","DIA_Karczmarz_HELLO_SHADOW_03_02","DIA_Karczmarz_HELLO_SHADOW"
"PC_HERO","Du kannst auch ein Bier nach mir nennen, wenn ich ein Champion bin.","Możesz już szykować nazwę dla piwa, gdy zostanę mistrzem.","DIA_Karczmarz_HELLO_SHADOW_15_03","DIA_Karczmarz_HELLO_SHADOW"
"NONE_5122_Karczmarz","Haha! Ich denke darüber nach.","Ha! Zastanowię się.","DIA_Karczmarz_HELLO_SHADOW_03_04","DIA_Karczmarz_HELLO_SHADOW"
"NONE_5122_Karczmarz","Wenn dir das neue Bier gefallen hat, lade ich dich ein, mehr davon zu kaufen.","Jak nowe piwo zasmakowało, zapraszam po kupno kolejnych.","DIA_Karczmarz_HELLO_SHADOW_03_05","DIA_Karczmarz_HELLO_SHADOW"
"NONE_5122_Karczmarz","Offenbar nennst du dich selbst den Champion der Gladiator Bucht!!","Podobno zwiesz się mistrzem zatoki gladiatorów!","DIA_Karczmarz_FARMERINFO1_03_01","DIA_Karczmarz_FARMERINFO1"
"NONE_5122_Karczmarz","Ich glaube dir.","Ja ci wierzę, nie wyglądasz na pierwszego lepszego ciecia, który tutaj zagląda.","DIA_Karczmarz_FARMERINFO1_03_02","DIA_Karczmarz_FARMERINFO1"
"PC_HERO","Danke dir.","Cieszy mnie to.","DIA_Karczmarz_FARMERINFO1_15_03","DIA_Karczmarz_FARMERINFO1"
"NONE_5122_Karczmarz","Hier ist unsere Delikatesse: Bauernhonig - obwohl es kein Honig ist.","Trzymaj, o to nasz przysmak: Farmerski miód - choć miodem to to nie jest.","DIA_Karczmarz_FARMERINFO1_03_04","DIA_Karczmarz_FARMERINFO1"
"NONE_5122_Karczmarz","Verwirrender Name, aber der Geschmack - Mein Lieber, du wirst in dieser Gegend keinen besseren Schnaps finden.","Nazwa myląca, ale smak - mój drogi, lepszego trunku w tych stronach nie znajdziesz.","DIA_Karczmarz_FARMERINFO1_03_05","DIA_Karczmarz_FARMERINFO1"
"PC_HERO","Danke.","Dzięki.","DIA_Karczmarz_FARMERINFO1_15_06","DIA_Karczmarz_FARMERINFO1"
"NONE_5122_Karczmarz","Dieser Kampf war ziemlich spektakulär, ich mochte ihn.","Całkiem widowiskowa była ta walka, podobała mi się.","DIA_Karczmarz_FARMERINFO2_03_01","DIA_Karczmarz_FARMERINFO2"
"NONE_5122_Karczmarz","Du musst durstig sein.","Pewnie musisz być spragniony.","DIA_Karczmarz_FARMERINFO2_03_02","DIA_Karczmarz_FARMERINFO2"
