"So ein Mistwetter!                                                                                                                     ","SVM_X_Weather"
"(zu sich selbst) Was für ein brutaler Kerl…                                                                                                                     ","SVM_X_OhMyGodHesDown"
"Ja, so ist's gut!                                                                                                                     ","SVM_X_CheerFriend01"
"Na, mach schon!                                                                                                                     ","SVM_X_CheerFriend02"
"Immer feste drauf!                                                                                                                     ","SVM_X_CheerFriend03"
"Lass dir nichts gefallen!                                                                                                                     ","SVM_X_Ooh01"
"Den wirst du ja wohl schaffen!                                                                                                                     ","SVM_X_Ooh02"
"Das gibt's doch gar nicht!                                                                                                                     ","SVM_X_Ooh03"
"(herzhaftes Gähnen)                                                                                                                     ","SVM_X_Awake"
"Geh mir aus den Augen, dreckiger Dieb!                                                                                                                     ","SVM_X_THEFT_CRIME"
"…glaubst du wirklich…                                                                                                                     ","SVM_X_Smalltalk01"
"…möglich ist alles…                                                                                                                     ","SVM_X_Smalltalk02"
"…das hätte er doch besser wissen müssen…                                                                                                                     ","SVM_X_Smalltalk03"
"…als ob ich nicht schon genug Probleme hätte…                                                                                                                     ","SVM_X_Smalltalk04"
"…wer erzählt denn so was…                                                                                                                     ","SVM_X_Smalltalk05"
"…das gibt doch nur noch mehr Ärger…                                                                                                                     ","SVM_X_Smalltalk06"
"…man erzählt sich ja so einiges…                                                                                                                     ","SVM_X_Smalltalk07"
"…ich hätte das nicht gemacht…                                                                                                                     ","SVM_X_Smalltalk08"
"…das sind doch alles nur Gerüchte…                                                                                                                     ","SVM_X_Smalltalk09"
"…man muss eben aufpassen, was man so rumerzählt…                                                                                                                     ","SVM_X_Smalltalk10"
"…das hätte ich dir vorher sagen können…                                                                                                                     ","SVM_X_Smalltalk11"
"…mich fragt ja keiner…                                                                                                                     ","SVM_X_Smalltalk12"
"…der arme Kerl kann einem Leid tun…                                                                                                                     ","SVM_X_Smalltalk13"
"…das ist doch nichts Neues…                                                                                                                     ","SVM_X_Smalltalk14"
"…das liegt doch auf der Hand…                                                                                                                     ","SVM_X_Smalltalk15"
"…mich brauchst du das nicht zu fragen…                                                                                                                     ","SVM_X_Smalltalk16"
"…das kann ja nicht ewig so weitergehen…                                                                                                                     ","SVM_X_Smalltalk17"
"…meine Meinung kennst du ja schon…                                                                                                                     ","SVM_X_Smalltalk18"
"…genau das hab ich auch gesagt…                                                                                                                     ","SVM_X_Smalltalk19"
"…daran wird sich nie etwas ändern…                                                                                                                     ","SVM_X_Smalltalk20"
"…warum erfahre ich das erst jetzt…                                                                                                                     ","SVM_X_Smalltalk21"
"…lass uns mal abwarten, was daraus wird…                                                                                                                     ","SVM_X_Smalltalk22"
"…einige Probleme erledigen sich von selbst…                                                                                                                     ","SVM_X_Smalltalk23"
"…ich kann das nicht mehr hören…                                                                                                                     ","SVM_X_Smalltalk24"
"…der war doch sturzbetrunken…                                                                                                                     ","SVM_X_Smalltalk25"
"…mit mir kann man so was nicht machen…                                                                                                                     ","SVM_X_Smalltalk26"
"…alle sind gerannt wie die Hasen, ich war ganz allein…                                                                                                                     ","SVM_X_Smalltalk27"
"…so steht es in den heiligen Schriften…                                                                                                                     ","SVM_X_Smalltalk28"
"…niemand darf gegen die göttliche Ordnung verstoßen…                                                                                                                     ","SVM_X_Smalltalk30"
