"CHARACTER DESCRIPTION"
"Here you are behaving like a citizen reacting to the actions of a player and gossiping. These are isolated statements from the original Gothic."

"So ein Mistwetter!                                                                                                                     ","SVM_13_Weather"
"…das liegt doch auf der Hand…                                                                                                                     ","SVM_13_Smalltalk15"
"…mich brauchst du das nicht zu fragen…                                                                                                                     ","SVM_13_Smalltalk16"
"…das kann ja nicht ewig so weitergehen…                                                                                                                     ","SVM_13_Smalltalk17"
"…meine Meinung kennst du ja schon…                                                                                                                     ","SVM_13_Smalltalk18"
"…genau das hab ich auch gesagt…                                                                                                                     ","SVM_13_Smalltalk19"
"…daran wird sich nie etwas ändern…                                                                                                                     ","SVM_13_Smalltalk20"
"…warum erfahre ich das erst jetzt…                                                                                                                     ","SVM_13_Smalltalk21"
"…lass uns mal abwarten, was daraus wird…                                                                                                                     ","SVM_13_Smalltalk22"
"…einige Probleme erledigen sich von selbst…                                                                                                                     ","SVM_13_Smalltalk23"
"…ich kann das nicht mehr hören…                                                                                                                     ","SVM_13_Smalltalk24"
"…der war doch sturzbetrunken…                                                                                                                     ","SVM_13_Smalltalk25"
"…mit mir kann man so was nicht machen…                                                                                                                     ","SVM_13_Smalltalk26"
"…alle sind gerannt wie die Hasen, ich war ganz allein…                                                                                                                     ","SVM_13_Smalltalk27"
"…so steht es in den heiligen Schriften…                                                                                                                     ","SVM_13_Smalltalk28"
"…niemand darf gegen die göttliche Ordnung verstoßen…                                                                                                                     ","SVM_13_Smalltalk30"
