"CHARACTER DESCRIPTION"
"Here you are behaving like a citizen reacting to the actions of a player and gossiping. These are isolated statements from the original Gothic."

"So ein Mistwetter!                                                                                                                     ","SVM_6_Weather"
"Geh mir aus den Augen, dreckiger Dieb!                                                                                                                     ","SVM_6_THEFT_CRIME"
"…glaubst du wirklich…                                                                                                                     ","SVM_6_Smalltalk01"
"…möglich ist alles…                                                                                                                     ","SVM_6_Smalltalk02"
"…das hätte er doch besser wissen müssen…                                                                                                                     ","SVM_6_Smalltalk03"
"…als ob ich nicht schon genug Probleme hätte…                                                                                                                     ","SVM_6_Smalltalk04"
"…wer erzählt denn so was…                                                                                                                     ","SVM_6_Smalltalk05"
"…das gibt doch nur noch mehr Ärger…                                                                                                                     ","SVM_6_Smalltalk06"
"…man erzählt sich ja so einiges…                                                                                                                     ","SVM_6_Smalltalk07"
"…ich hätte das nicht gemacht…                                                                                                                     ","SVM_6_Smalltalk08"
"…das sind doch alles nur Gerüchte…                                                                                                                     ","SVM_6_Smalltalk09"
"…man muss eben aufpassen, was man so rumerzählt…                                                                                                                     ","SVM_6_Smalltalk10"
"…das hätte ich dir vorher sagen können…                                                                                                                     ","SVM_6_Smalltalk11"
"…mich fragt ja keiner…                                                                                                                     ","SVM_6_Smalltalk12"
"…der arme Kerl kann einem Leid tun…                                                                                                                     ","SVM_6_Smalltalk13"
"…das ist doch nichts Neues…                                                                                                                     ","SVM_6_Smalltalk14"
"…das liegt doch auf der Hand…                                                                                                                     ","SVM_6_Smalltalk15"
"…mich brauchst du das nicht zu fragen…                                                                                                                     ","SVM_6_Smalltalk16"
"…das kann ja nicht ewig so weitergehen…                                                                                                                     ","SVM_6_Smalltalk17"
"…meine Meinung kennst du ja schon…                                                                                                                     ","SVM_6_Smalltalk18"
"…genau das hab ich auch gesagt…                                                                                                                     ","SVM_6_Smalltalk19"
"…daran wird sich nie etwas ändern…                                                                                                                     ","SVM_6_Smalltalk20"
"…warum erfahre ich das erst jetzt…                                                                                                                     ","SVM_6_Smalltalk21"
"…lass uns mal abwarten, was daraus wird…                                                                                                                     ","SVM_6_Smalltalk22"
"…einige Probleme erledigen sich von selbst…                                                                                                                     ","SVM_6_Smalltalk23"
"…ich kann das nicht mehr hören…                                                                                                                     ","SVM_6_Smalltalk24"
"…der war doch sturzbetrunken…                                                                                                                     ","SVM_6_Smalltalk25"
"…mit mir kann man so was nicht machen…                                                                                                                     ","SVM_6_Smalltalk26"
"…alle sind gerannt wie die Hasen, ich war ganz allein…                                                                                                                     ","SVM_6_Smalltalk27"
"…so steht es in den heiligen Schriften…                                                                                                                     ","SVM_6_Smalltalk28"
"…niemand darf gegen die göttliche Ordnung verstoßen…                                                                                                                     ","SVM_6_Smalltalk30"
