"CHARACTER DESCRIPTION"
"Here you are behaving like a citizen reacting to the actions of a player and gossiping. These are isolated statements from the original Gothic."

"So ein Mistwetter!                                                                                                                     ","SVM_3_Weather"
"(zu sich selbst) Oh, mein Schädel…                                                                                                                     ","SVM_3_OhMyHead"
"(gierig) Jetzt geht's zur Sache!                                                                                                                     ","SVM_3_TheresAFight"
"(bestürzt) Die hauen sich den Schädel ein…                                                                                                                     ","SVM_3_OhMyGodItsAFight"
"(böse lachend) Das hat er verdient.                                                                                                                     ","SVM_3_GoodVictory"
"(anerkennend) Gar nicht so übel…                                                                                                                     ","SVM_3_NotBad"
"(zu sich selbst) Was für ein brutaler Kerl…                                                                                                                     ","SVM_3_OhMyGodHesDown"
"Ja, so ist's gut!                                                                                                                     ","SVM_3_CheerFriend01"
"Na, mach schon!                                                                                                                     ","SVM_3_CheerFriend02"
"Immer feste drauf!                                                                                                                     ","SVM_3_CheerFriend03"
"Lass dir nichts gefallen!                                                                                                                     ","SVM_3_Ooh01"
"Den wirst du ja wohl schaffen!                                                                                                                     ","SVM_3_Ooh02"
"Das gibt's doch gar nicht!                                                                                                                     ","SVM_3_Ooh03"
"(herzhaftes Gähnen)                                                                                                                     ","SVM_3_Awake"
"Geh mir aus den Augen, dreckiger Dieb!                                                                                                                     ","SVM_3_THEFT_CRIME"
"…glaubst du wirklich…                                                                                                                     ","SVM_3_Smalltalk01"
"…möglich ist alles…                                                                                                                     ","SVM_3_Smalltalk02"
"…das hätte er doch besser wissen müssen…                                                                                                                     ","SVM_3_Smalltalk03"
"…als ob ich nicht schon genug Probleme hätte…                                                                                                                     ","SVM_3_Smalltalk04"
"…wer erzählt denn so was…                                                                                                                     ","SVM_3_Smalltalk05"
"…das gibt doch nur noch mehr Ärger…                                                                                                                     ","SVM_3_Smalltalk06"
"…man erzählt sich ja so einiges…                                                                                                                     ","SVM_3_Smalltalk07"
"…ich hätte das nicht gemacht…                                                                                                                     ","SVM_3_Smalltalk08"
"…das sind doch alles nur Gerüchte…                                                                                                                     ","SVM_3_Smalltalk09"
"…man muss eben aufpassen, was man so rumerzählt…                                                                                                                     ","SVM_3_Smalltalk10"
"…das hätte ich dir vorher sagen können…                                                                                                                     ","SVM_3_Smalltalk11"
"…mich fragt ja keiner…                                                                                                                     ","SVM_3_Smalltalk12"
"…der arme Kerl kann einem Leid tun…                                                                                                                     ","SVM_3_Smalltalk13"
"…das ist doch nichts Neues…                                                                                                                     ","SVM_3_Smalltalk14"
"…das liegt doch auf der Hand…                                                                                                                     ","SVM_3_Smalltalk15"
"…mich brauchst du das nicht zu fragen…                                                                                                                     ","SVM_3_Smalltalk16"
"…das kann ja nicht ewig so weitergehen…                                                                                                                     ","SVM_3_Smalltalk17"
"…meine Meinung kennst du ja schon…                                                                                                                     ","SVM_3_Smalltalk18"
"…genau das hab ich auch gesagt…                                                                                                                     ","SVM_3_Smalltalk19"
"…daran wird sich nie etwas ändern…                                                                                                                     ","SVM_3_Smalltalk20"
"…warum erfahre ich das erst jetzt…                                                                                                                     ","SVM_3_Smalltalk21"
"…lass uns mal abwarten, was daraus wird…                                                                                                                     ","SVM_3_Smalltalk22"
"…einige Probleme erledigen sich von selbst…                                                                                                                     ","SVM_3_Smalltalk23"
"…ich kann das nicht mehr hören…                                                                                                                     ","SVM_3_Smalltalk24"
"…der war doch sturzbetrunken…                                                                                                                     ","SVM_3_Smalltalk25"
"…mit mir kann man so was nicht machen…                                                                                                                     ","SVM_3_Smalltalk26"
"…alle sind gerannt wie die Hasen, ich war ganz allein…                                                                                                                     ","SVM_3_Smalltalk27"
"…so steht es in den heiligen Schriften…                                                                                                                     ","SVM_3_Smalltalk28"
"…niemand darf gegen die göttliche Ordnung verstoßen…                                                                                                                     ","SVM_3_Smalltalk30"
