"CHARACTER DESCRIPTION"
"Here you are behaving like a citizen reacting to the actions of a player and gossiping. These are isolated statements from the original Gothic."

"So ein Mistwetter!                                                                                                                     ","SVM_2_Weather"
"(zu sich selbst) Darüber reden wir noch…                                                                                                                     ","SVM_2_NextTimeYoureInForIt"
"(zu sich selbst) Oh, mein Schädel…                                                                                                                     ","SVM_2_OhMyHead"
"(gierig) Jetzt geht's zur Sache!                                                                                                                     ","SVM_2_TheresAFight"
"(bestürzt) Die hauen sich den Schädel ein…                                                                                                                     ","SVM_2_OhMyGodItsAFight"
"(böse lachend) Das hat er verdient.                                                                                                                     ","SVM_2_GoodVictory"
"(anerkennend) Gar nicht so übel…                                                                                                                     ","SVM_2_NotBad"
"(zu sich selbst) Was für ein brutaler Kerl…                                                                                                                     ","SVM_2_OhMyGodHesDown"
"Ja, so ist's gut!                                                                                                                     ","SVM_2_CheerFriend01"
"Na, mach schon!                                                                                                                     ","SVM_2_CheerFriend02"
"Immer feste drauf!                                                                                                                     ","SVM_2_CheerFriend03"
"Lass dir nichts gefallen!                                                                                                                     ","SVM_2_Ooh01"
"Den wirst du ja wohl schaffen!                                                                                                                     ","SVM_2_Ooh02"
"Das gibt's doch gar nicht!                                                                                                                     ","SVM_2_Ooh03"
"(herzhaftes Gähnen)                                                                                                                     ","SVM_2_Awake"
"Geh mir aus den Augen, dreckiger Dieb!                                                                                                                     ","SVM_2_THEFT_CRIME"
"…glaubst du wirklich…                                                                                                                     ","SVM_2_Smalltalk01"
"…möglich ist alles…                                                                                                                     ","SVM_2_Smalltalk02"
"…das hätte er doch besser wissen müssen…                                                                                                                     ","SVM_2_Smalltalk03"
"…als ob ich nicht schon genug Probleme hätte…                                                                                                                     ","SVM_2_Smalltalk04"
"…wer erzählt denn so was…                                                                                                                     ","SVM_2_Smalltalk05"
"…das gibt doch nur noch mehr Ärger…                                                                                                                     ","SVM_2_Smalltalk06"
"…man erzählt sich ja so einiges…                                                                                                                     ","SVM_2_Smalltalk07"
"…ich hätte das nicht gemacht…                                                                                                                     ","SVM_2_Smalltalk08"
"…das sind doch alles nur Gerüchte…                                                                                                                     ","SVM_2_Smalltalk09"
"…man muss eben aufpassen, was man so rumerzählt…                                                                                                                     ","SVM_2_Smalltalk10"
"…das hätte ich dir vorher sagen können…                                                                                                                     ","SVM_2_Smalltalk11"
"…mich fragt ja keiner…                                                                                                                     ","SVM_2_Smalltalk12"
"…der arme Kerl kann einem Leid tun…                                                                                                                     ","SVM_2_Smalltalk13"
"…das ist doch nichts Neues…                                                                                                                     ","SVM_2_Smalltalk14"
"…das liegt doch auf der Hand…                                                                                                                     ","SVM_2_Smalltalk15"
"…mich brauchst du das nicht zu fragen…                                                                                                                     ","SVM_2_Smalltalk16"
"…das kann ja nicht ewig so weitergehen…                                                                                                                     ","SVM_2_Smalltalk17"
"…meine Meinung kennst du ja schon…                                                                                                                     ","SVM_2_Smalltalk18"
"…genau das hab ich auch gesagt…                                                                                                                     ","SVM_2_Smalltalk19"
"…daran wird sich nie etwas ändern…                                                                                                                     ","SVM_2_Smalltalk20"
"…warum erfahre ich das erst jetzt…                                                                                                                     ","SVM_2_Smalltalk21"
"…lass uns mal abwarten, was daraus wird…                                                                                                                     ","SVM_2_Smalltalk22"
"…einige Probleme erledigen sich von selbst…                                                                                                                     ","SVM_2_Smalltalk23"
"…ich kann das nicht mehr hören…                                                                                                                     ","SVM_2_Smalltalk24"
"…der war doch sturzbetrunken…                                                                                                                     ","SVM_2_Smalltalk25"
"…mit mir kann man so was nicht machen…                                                                                                                     ","SVM_2_Smalltalk26"
"…alle sind gerannt wie die Hasen, ich war ganz allein…                                                                                                                     ","SVM_2_Smalltalk27"
"…so steht es in den heiligen Schriften…                                                                                                                     ","SVM_2_Smalltalk28"
"…niemand darf gegen die göttliche Ordnung verstoßen…                                                                                                                     ","SVM_2_Smalltalk30"
