"CHARACTER DESCRIPTION"
"Here you are behaving like a citizen reacting to the actions of a player and gossiping. These are isolated statements from the original Gothic."

"So ein Mistwetter!                                                                                                                     ","SVM_4_Weather"
"(gierig) Jetzt geht's zur Sache!                                                                                                                     ","SVM_4_TheresAFight"
"(bestürzt) Die hauen sich den Schädel ein…                                                                                                                     ","SVM_4_OhMyGodItsAFight"
"(böse lachend) Das hat er verdient.                                                                                                                     ","SVM_4_GoodVictory"
"(anerkennend) Gar nicht so übel…                                                                                                                     ","SVM_4_NotBad"
"(zu sich selbst) Was für ein brutaler Kerl…                                                                                                                     ","SVM_4_OhMyGodHesDown"
"Ja, so ist's gut!                                                                                                                     ","SVM_4_CheerFriend01"
"Na, mach schon!                                                                                                                     ","SVM_4_CheerFriend02"
"Immer feste drauf!                                                                                                                     ","SVM_4_CheerFriend03"
"Lass dir nichts gefallen!                                                                                                                     ","SVM_4_Ooh01"
"Den wirst du ja wohl schaffen!                                                                                                                     ","SVM_4_Ooh02"
"Das gibt's doch gar nicht!                                                                                                                     ","SVM_4_Ooh03"
"(herzhaftes Gähnen)                                                                                                                     ","SVM_4_Awake"
"Geh mir aus den Augen, dreckiger Dieb!                                                                                                                     ","SVM_4_THEFT_CRIME"
"…glaubst du wirklich…                                                                                                                     ","SVM_4_Smalltalk01"
"…möglich ist alles…                                                                                                                     ","SVM_4_Smalltalk02"
"…das hätte er doch besser wissen müssen…                                                                                                                     ","SVM_4_Smalltalk03"
"…als ob ich nicht schon genug Probleme hätte…                                                                                                                     ","SVM_4_Smalltalk04"
"…wer erzählt denn so was…                                                                                                                     ","SVM_4_Smalltalk05"
"…das gibt doch nur noch mehr Ärger…                                                                                                                     ","SVM_4_Smalltalk06"
"…man erzählt sich ja so einiges…                                                                                                                     ","SVM_4_Smalltalk07"
"…ich hätte das nicht gemacht…                                                                                                                     ","SVM_4_Smalltalk08"
"…das sind doch alles nur Gerüchte…                                                                                                                     ","SVM_4_Smalltalk09"
"…man muss eben aufpassen, was man so rumerzählt…                                                                                                                     ","SVM_4_Smalltalk10"
"…das hätte ich dir vorher sagen können…                                                                                                                     ","SVM_4_Smalltalk11"
"…mich fragt ja keiner…                                                                                                                     ","SVM_4_Smalltalk12"
"…der arme Kerl kann einem Leid tun…                                                                                                                     ","SVM_4_Smalltalk13"
"…das ist doch nichts Neues…                                                                                                                     ","SVM_4_Smalltalk14"
"…das liegt doch auf der Hand…                                                                                                                     ","SVM_4_Smalltalk15"
"…mich brauchst du das nicht zu fragen…                                                                                                                     ","SVM_4_Smalltalk16"
"…das kann ja nicht ewig so weitergehen…                                                                                                                     ","SVM_4_Smalltalk17"
"…meine Meinung kennst du ja schon…                                                                                                                     ","SVM_4_Smalltalk18"
"…genau das hab ich auch gesagt…                                                                                                                     ","SVM_4_Smalltalk19"
"…daran wird sich nie etwas ändern…                                                                                                                     ","SVM_4_Smalltalk20"
"…warum erfahre ich das erst jetzt…                                                                                                                     ","SVM_4_Smalltalk21"
"…lass uns mal abwarten, was daraus wird…                                                                                                                     ","SVM_4_Smalltalk22"
"…einige Probleme erledigen sich von selbst…                                                                                                                     ","SVM_4_Smalltalk23"
"…ich kann das nicht mehr hören…                                                                                                                     ","SVM_4_Smalltalk24"
"…der war doch sturzbetrunken…                                                                                                                     ","SVM_4_Smalltalk25"
"…mit mir kann man so was nicht machen…                                                                                                                     ","SVM_4_Smalltalk26"
"…alle sind gerannt wie die Hasen, ich war ganz allein…                                                                                                                     ","SVM_4_Smalltalk27"
"…so steht es in den heiligen Schriften…                                                                                                                     ","SVM_4_Smalltalk28"
"…niemand darf gegen die göttliche Ordnung verstoßen…                                                                                                                     ","SVM_4_Smalltalk30"
