"CHARACTER DESCRIPTION"
"Here you are behaving like a citizen reacting to the actions of a player and gossiping. These are isolated statements from the original Gothic."

"So ein Mistwetter!                                                                                                                     ","SVM_8_Weather"
"…glaubst du wirklich…                                                                                                                     ","SVM_8_Smalltalk01"
"…möglich ist alles…                                                                                                                     ","SVM_8_Smalltalk02"
"…das hätte er doch besser wissen müssen…                                                                                                                     ","SVM_8_Smalltalk03"
"…als ob ich nicht schon genug Probleme hätte…                                                                                                                     ","SVM_8_Smalltalk04"
"…wer erzählt denn so was…                                                                                                                     ","SVM_8_Smalltalk05"
"…das gibt doch nur noch mehr Ärger…                                                                                                                     ","SVM_8_Smalltalk06"
"…man erzählt sich ja so einiges…                                                                                                                     ","SVM_8_Smalltalk07"
"…ich hätte das nicht gemacht…                                                                                                                     ","SVM_8_Smalltalk08"
"…das sind doch alles nur Gerüchte…                                                                                                                     ","SVM_8_Smalltalk09"
"…man muss eben aufpassen, was man so rumerzählt…                                                                                                                     ","SVM_8_Smalltalk10"
"…das hätte ich dir vorher sagen können…                                                                                                                     ","SVM_8_Smalltalk11"
"…mich fragt ja keiner…                                                                                                                     ","SVM_8_Smalltalk12"
"…der arme Kerl kann einem Leid tun…                                                                                                                     ","SVM_8_Smalltalk13"
"…das ist doch nichts Neues…                                                                                                                     ","SVM_8_Smalltalk14"
"…das liegt doch auf der Hand…                                                                                                                     ","SVM_8_Smalltalk15"
"…mich brauchst du das nicht zu fragen…                                                                                                                     ","SVM_8_Smalltalk16"
"…das kann ja nicht ewig so weitergehen…                                                                                                                     ","SVM_8_Smalltalk17"
"…meine Meinung kennst du ja schon…                                                                                                                     ","SVM_8_Smalltalk18"
"…genau das hab ich auch gesagt…                                                                                                                     ","SVM_8_Smalltalk19"
"…daran wird sich nie etwas ändern…                                                                                                                     ","SVM_8_Smalltalk20"
"…warum erfahre ich das erst jetzt…                                                                                                                     ","SVM_8_Smalltalk21"
"…lass uns mal abwarten, was daraus wird…                                                                                                                     ","SVM_8_Smalltalk22"
"…einige Probleme erledigen sich von selbst…                                                                                                                     ","SVM_8_Smalltalk23"
"…ich kann das nicht mehr hören…                                                                                                                     ","SVM_8_Smalltalk24"
"…der war doch sturzbetrunken…                                                                                                                     ","SVM_8_Smalltalk25"
"…mit mir kann man so was nicht machen…                                                                                                                     ","SVM_8_Smalltalk26"
"…alle sind gerannt wie die Hasen, ich war ganz allein…                                                                                                                     ","SVM_8_Smalltalk27"
"…so steht es in den heiligen Schriften…                                                                                                                     ","SVM_8_Smalltalk28"
"…niemand darf gegen die göttliche Ordnung verstoßen…                                                                                                                     ","SVM_8_Smalltalk30"
