"CHARACTER DESCRIPTION"
"Here you are behaving like a citizen reacting to the actions of a player and gossiping. These are isolated statements from the original Gothic."

"So ein Mistwetter!                                                                                                                     ","SVM_17_Weather"
"…er sollte lieber den Mund halten…                                                                                                                     ","SVM_17_Smalltalk15"
"…er arbeitet auch den ganzen Tag…                                                                                                                     ","SVM_17_Smalltalk16"
"…worum soll ich mich denn noch alles kümmern…                                                                                                                     ","SVM_17_Smalltalk17"
"…er redet einfach zu viel…                                                                                                                     ","SVM_17_Smalltalk18"
"…das ist doch kein Geheimnis mehr…                                                                                                                     ","SVM_17_Smalltalk19"
"…das weiß doch inzwischen jeder…                                                                                                                     ","SVM_17_Smalltalk20"
"…der erzähl ich gar nichts mehr…                                                                                                                     ","SVM_17_Smalltalk21"
"…und es wird noch viel schlimmer…                                                                                                                     ","SVM_17_Smalltalk22"
"…das ist ja schrecklich…                                                                                                                     ","SVM_17_Smalltalk23"
"…das habe ich schon immer gesagt…                                                                                                                     ","SVM_17_Smalltalk24"
