"CHARACTER DESCRIPTION"
"Here you are behaving like a citizen reacting to the actions of a player and gossiping. These are isolated statements from the original Gothic."

"So ein Mistwetter!                                                                                                                     ","SVM_7_Weather"
"…als ob ich nicht schon genug Probleme hätte…                                                                                                                     ","SVM_7_Smalltalk04"
"…wer erzählt denn so was…                                                                                                                     ","SVM_7_Smalltalk05"
"…das gibt doch nur noch mehr Ärger…                                                                                                                     ","SVM_7_Smalltalk06"
"…man erzählt sich ja so einiges…                                                                                                                     ","SVM_7_Smalltalk07"
"…ich hätte das nicht gemacht…                                                                                                                     ","SVM_7_Smalltalk08"
"…das sind doch alles nur Gerüchte…                                                                                                                     ","SVM_7_Smalltalk09"
"…man muss eben aufpassen, was man so rumerzählt…                                                                                                                     ","SVM_7_Smalltalk10"
"…das hätte ich dir vorher sagen können…                                                                                                                     ","SVM_7_Smalltalk11"
"…mich fragt ja keiner…                                                                                                                     ","SVM_7_Smalltalk12"
"…der arme Kerl kann einem Leid tun…                                                                                                                     ","SVM_7_Smalltalk13"
"…das ist doch nichts Neues…                                                                                                                     ","SVM_7_Smalltalk14"
"…das liegt doch auf der Hand…                                                                                                                     ","SVM_7_Smalltalk15"
"…mich brauchst du das nicht zu fragen…                                                                                                                     ","SVM_7_Smalltalk16"
"…das kann ja nicht ewig so weitergehen…                                                                                                                     ","SVM_7_Smalltalk17"
"…meine Meinung kennst du ja schon…                                                                                                                     ","SVM_7_Smalltalk18"
"…genau das hab ich auch gesagt…                                                                                                                     ","SVM_7_Smalltalk19"
"…daran wird sich nie etwas ändern…                                                                                                                     ","SVM_7_Smalltalk20"
"…warum erfahre ich das erst jetzt…                                                                                                                     ","SVM_7_Smalltalk21"
"…lass uns mal abwarten, was daraus wird…                                                                                                                     ","SVM_7_Smalltalk22"
"…einige Probleme erledigen sich von selbst…                                                                                                                     ","SVM_7_Smalltalk23"
"…ich kann das nicht mehr hören…                                                                                                                     ","SVM_7_Smalltalk24"
"…der war doch sturzbetrunken…                                                                                                                     ","SVM_7_Smalltalk25"
"…mit mir kann man so was nicht machen…                                                                                                                     ","SVM_7_Smalltalk26"
"…alle sind gerannt wie die Hasen, ich war ganz allein…                                                                                                                     ","SVM_7_Smalltalk27"
"…so steht es in den heiligen Schriften…                                                                                                                     ","SVM_7_Smalltalk28"
"…niemand darf gegen die göttliche Ordnung verstoßen…                                                                                                                     ","SVM_7_Smalltalk30"
