"CHARACTER DESCRIPTION"
"Here you are behaving like a citizen reacting to the actions of a player and gossiping. These are isolated statements from the original Gothic."

"So ein Mistwetter!                                                                                                                     ","SVM_9_Weather"
"(wacht auf) Verdammt, was ist los?                                                                                                                     ","SVM_9_YouDisturbedMySlumber"
"Gold! Das ist schon mal meins…                                                                                                                     ","SVM_9_ITookYourGold"
"Der Mistkerl hat noch nicht mal Gold dabei.                                                                                                                     ","SVM_9_ShitNoGold"
"Deine Waffe nehm' ich mal lieber mit.                                                                                                                     ","SVM_9_ITakeYourWeapon"
"(aggressiv) Hast du immer noch nicht genug?!                                                                                                                     ","SVM_9_LookingForTroubleAgain"
"Geh bloß weg mit deiner Magie!                                                                                                                     ","SVM_9_StopMagic"
"Weg mit der Magie! Hörst du schlecht!?                                                                                                                     ","SVM_9_ISaidStopMagic"
"Weg mit der Waffe!                                                                                                                     ","SVM_9_WeaponDown"
"Hörst du schlecht? Ich sagte: Weg mit der Waffe!                                                                                                                     ","SVM_9_ISaidWeaponDown"
"Na bitte, geht doch!                                                                                                                     ","SVM_9_WiseMove"
"(zu sich selbst) Darüber reden wir noch…                                                                                                                     ","SVM_9_NextTimeYoureInForIt"
"(zu sich selbst) Oh, mein Schädel…                                                                                                                     ","SVM_9_OhMyHead"
"(gierig) Jetzt geht's zur Sache!                                                                                                                     ","SVM_9_TheresAFight"
"(bestürzt) Die hauen sich den Schädel ein…                                                                                                                     ","SVM_9_OhMyGodItsAFight"
"(böse lachend) Das hat er verdient.                                                                                                                     ","SVM_9_GoodVictory"
"(anerkennend) Gar nicht so übel…                                                                                                                     ","SVM_9_NotBad"
"(zu sich selbst) Was für ein brutaler Kerl…                                                                                                                     ","SVM_9_OhMyGodHesDown"
"Ja, so ist's gut!                                                                                                                     ","SVM_9_CheerFriend01"
"Na, mach schon!                                                                                                                     ","SVM_9_CheerFriend02"
"Immer feste drauf!                                                                                                                     ","SVM_9_CheerFriend03"
"Lass dir nichts gefallen!                                                                                                                     ","SVM_9_Ooh01"
"Den wirst du ja wohl schaffen!                                                                                                                     ","SVM_9_Ooh02"
"Das gibt's doch gar nicht!                                                                                                                     ","SVM_9_Ooh03"
"(herzhaftes Gähnen)                                                                                                                     ","SVM_9_Awake"
"Geh mir aus den Augen, dreckiger Dieb!                                                                                                                     ","SVM_9_THEFT_CRIME"
"…glaubst du wirklich…                                                                                                                     ","SVM_9_Smalltalk01"
"…möglich ist alles…                                                                                                                     ","SVM_9_Smalltalk02"
"…das hätte er doch besser wissen müssen…                                                                                                                     ","SVM_9_Smalltalk03"
"…als ob ich nicht schon genug Probleme hätte…                                                                                                                     ","SVM_9_Smalltalk04"
"…wer erzählt denn so was…                                                                                                                     ","SVM_9_Smalltalk05"
"…das gibt doch nur noch mehr Ärger…                                                                                                                     ","SVM_9_Smalltalk06"
"…man erzählt sich ja so einiges…                                                                                                                     ","SVM_9_Smalltalk07"
"…ich hätte das nicht gemacht…                                                                                                                     ","SVM_9_Smalltalk08"
"…das sind doch alles nur Gerüchte…                                                                                                                     ","SVM_9_Smalltalk09"
"…man muss eben aufpassen, was man so rumerzählt…                                                                                                                     ","SVM_9_Smalltalk10"
"…das hätte ich dir vorher sagen können…                                                                                                                     ","SVM_9_Smalltalk11"
"…mich fragt ja keiner…                                                                                                                     ","SVM_9_Smalltalk12"
"…der arme Kerl kann einem Leid tun…                                                                                                                     ","SVM_9_Smalltalk13"
"…das ist doch nichts Neues…                                                                                                                     ","SVM_9_Smalltalk14"
"…das liegt doch auf der Hand…                                                                                                                     ","SVM_9_Smalltalk15"
"…mich brauchst du das nicht zu fragen…                                                                                                                     ","SVM_9_Smalltalk16"
"…das kann ja nicht ewig so weitergehen…                                                                                                                     ","SVM_9_Smalltalk17"
"…meine Meinung kennst du ja schon…                                                                                                                     ","SVM_9_Smalltalk18"
"…genau das hab ich auch gesagt…                                                                                                                     ","SVM_9_Smalltalk19"
"…daran wird sich nie etwas ändern…                                                                                                                     ","SVM_9_Smalltalk20"
"…warum erfahre ich das erst jetzt…                                                                                                                     ","SVM_9_Smalltalk21"
"…lass uns mal abwarten, was daraus wird…                                                                                                                     ","SVM_9_Smalltalk22"
"…einige Probleme erledigen sich von selbst…                                                                                                                     ","SVM_9_Smalltalk23"
"…ich kann das nicht mehr hören…                                                                                                                     ","SVM_9_Smalltalk24"
"…der war doch sturzbetrunken…                                                                                                                     ","SVM_9_Smalltalk25"
"…mit mir kann man so was nicht machen…                                                                                                                     ","SVM_9_Smalltalk26"
"…alle sind gerannt wie die Hasen, ich war ganz allein…                                                                                                                     ","SVM_9_Smalltalk27"
"…so steht es in den heiligen Schriften…                                                                                                                     ","SVM_9_Smalltalk28"
"…niemand darf gegen die göttliche Ordnung verstoßen…                                                                                                                     ","SVM_9_Smalltalk30"
