"CHARACTER DESCRIPTION"
"Here you are behaving like a citizen reacting to the actions of a player and gossiping. These are isolated statements from the original Gothic."

"So ein Mistwetter!                                                                                                                     ","SVM_5_Weather"
"Was suchst du hier!? Geh!                                                                                                                     ","SVM_5_WhyAreYouInHere"
"Ja, mach, dass du wegkommst!                                                                                                                     ","SVM_5_YesGoOutOfHere"
"Hey du! Was schleichst du da rum.                                                                                                                     ","SVM_5_WhatsThisSupposedToBe"
"(wacht auf) Verdammt, was ist los?                                                                                                                     ","SVM_5_YouDisturbedMySlumber"
"Gold! Das ist schon mal meins…                                                                                                                     ","SVM_5_ITookYourGold"
"Der Mistkerl hat noch nicht mal Gold dabei.                                                                                                                     ","SVM_5_ShitNoGold"
"Deine Waffe nehm' ich mal lieber mit.                                                                                                                     ","SVM_5_ITakeYourWeapon"
"(aggressiv) Hast du immer noch nicht genug?!                                                                                                                     ","SVM_5_LookingForTroubleAgain"
"Geh bloß weg mit deiner Magie!                                                                                                                     ","SVM_5_StopMagic"
"Weg mit der Magie! Hörst du schlecht!?                                                                                                                     ","SVM_5_ISaidStopMagic"
"Weg mit der Waffe!                                                                                                                     ","SVM_5_WeaponDown"
"Hörst du schlecht? Ich sagte: Weg mit der Waffe!                                                                                                                     ","SVM_5_ISaidWeaponDown"
"Na bitte, geht doch!                                                                                                                     ","SVM_5_WiseMove"
"(zu sich selbst) Darüber reden wir noch…                                                                                                                     ","SVM_5_NextTimeYoureInForIt"
"(zu sich selbst) Oh, mein Schädel…                                                                                                                     ","SVM_5_OhMyHead"
"(gierig) Jetzt geht's zur Sache!                                                                                                                     ","SVM_5_TheresAFight"
"(bestürzt) Die hauen sich den Schädel ein…                                                                                                                     ","SVM_5_OhMyGodItsAFight"
"(böse lachend) Das hat er verdient.                                                                                                                     ","SVM_5_GoodVictory"
"(anerkennend) Gar nicht so übel…                                                                                                                     ","SVM_5_NotBad"
"(zu sich selbst) Was für ein brutaler Kerl…                                                                                                                     ","SVM_5_OhMyGodHesDown"
"Ja, so ist's gut!                                                                                                                     ","SVM_5_CheerFriend01"
"Na, mach schon!                                                                                                                     ","SVM_5_CheerFriend02"
"Immer feste drauf!                                                                                                                     ","SVM_5_CheerFriend03"
"Lass dir nichts gefallen!                                                                                                                     ","SVM_5_Ooh01"
"Den wirst du ja wohl schaffen!                                                                                                                     ","SVM_5_Ooh02"
"Das gibt's doch gar nicht!                                                                                                                     ","SVM_5_Ooh03"
"(herzhaftes Gähnen)                                                                                                                     ","SVM_5_Awake"
"Geh mir aus den Augen, dreckiger Dieb!                                                                                                                     ","SVM_5_THEFT_CRIME"
"…glaubst du wirklich…                                                                                                                     ","SVM_5_Smalltalk01"
"…möglich ist alles…                                                                                                                     ","SVM_5_Smalltalk02"
"…das hätte er doch besser wissen müssen…                                                                                                                     ","SVM_5_Smalltalk03"
"…als ob ich nicht schon genug Probleme hätte…                                                                                                                     ","SVM_5_Smalltalk04"
"…wer erzählt denn so was…                                                                                                                     ","SVM_5_Smalltalk05"
"…das gibt doch nur noch mehr Ärger…                                                                                                                     ","SVM_5_Smalltalk06"
"…man erzählt sich ja so einiges…                                                                                                                     ","SVM_5_Smalltalk07"
"…ich hätte das nicht gemacht…                                                                                                                     ","SVM_5_Smalltalk08"
"…das sind doch alles nur Gerüchte…                                                                                                                     ","SVM_5_Smalltalk09"
"…man muss eben aufpassen, was man so rumerzählt…                                                                                                                     ","SVM_5_Smalltalk10"
"…das hätte ich dir vorher sagen können…                                                                                                                     ","SVM_5_Smalltalk11"
"…mich fragt ja keiner…                                                                                                                     ","SVM_5_Smalltalk12"
"…der arme Kerl kann einem Leid tun…                                                                                                                     ","SVM_5_Smalltalk13"
"…das ist doch nichts Neues…                                                                                                                     ","SVM_5_Smalltalk14"
"…das liegt doch auf der Hand…                                                                                                                     ","SVM_5_Smalltalk15"
"…mich brauchst du das nicht zu fragen…                                                                                                                     ","SVM_5_Smalltalk16"
"…das kann ja nicht ewig so weitergehen…                                                                                                                     ","SVM_5_Smalltalk17"
"…meine Meinung kennst du ja schon…                                                                                                                     ","SVM_5_Smalltalk18"
"…genau das hab ich auch gesagt…                                                                                                                     ","SVM_5_Smalltalk19"
"…daran wird sich nie etwas ändern…                                                                                                                     ","SVM_5_Smalltalk20"
"…warum erfahre ich das erst jetzt…                                                                                                                     ","SVM_5_Smalltalk21"
"…lass uns mal abwarten, was daraus wird…                                                                                                                     ","SVM_5_Smalltalk22"
"…einige Probleme erledigen sich von selbst…                                                                                                                     ","SVM_5_Smalltalk23"
"…ich kann das nicht mehr hören…                                                                                                                     ","SVM_5_Smalltalk24"
"…der war doch sturzbetrunken…                                                                                                                     ","SVM_5_Smalltalk25"
"…mit mir kann man so was nicht machen…                                                                                                                     ","SVM_5_Smalltalk26"
"…alle sind gerannt wie die Hasen, ich war ganz allein…                                                                                                                     ","SVM_5_Smalltalk27"
"…so steht es in den heiligen Schriften…                                                                                                                     ","SVM_5_Smalltalk28"
"…niemand darf gegen die göttliche Ordnung verstoßen…                                                                                                                     ","SVM_5_Smalltalk30"
